function	gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
Ribo	YLR441C	-2.84061 - -2.46131	-1.55052 - -0.789981	-1.12887 - -0.382426	-2.93219 - -1.99724	-1.6315 - -1.2472	-0.0670098 - 0.370891	0.559976 - 1.14374	-0.235078 - -0.0103348	-0.333791 - -0.103436	-0.573237 - -0.24581	0.303004 - 0.524226	0.0512376 - 0.308063	-0.496845 - -0.347348	0.489747 - 0.669964	0.15896 - 0.33614	-0.282942 - -0.067954	-1.00002 - -0.622271	0.17113 - 0.367606	-0.37434 - -0.193563	0.528279 - 0.935366	0.549829 - 0.781302	0.477439 - 0.87368	-0.296289 - -0.128279	-0.872897 - -0.527216	-0.206293 - 0.0027569
Ribo	YGL031C	< -3.84266	1.22464 - 2.27225	0.608969 - 1.1829	-2.93219 - -1.99724	-1.2472 - -0.437616	-0.0670098 - 0.370891	-0.327772 - -0.0921005	-0.659428 - -0.235078	-0.103436 - 0.141737	-0.869533 - -0.573237	0.0567379 - 0.303004	-0.476743 - -0.1735	0.459517 - 0.777881	-0.0386652 - 0.270683	-0.425273 - -0.228786	-0.444354 - -0.282942	-1.00002 - -0.622271	0.0347436 - 0.17113	-0.37434 - -0.193563	0.528279 - 0.935366	-0.308823 - -0.0792995	0.283336 - 0.477439	-0.296289 - -0.128279	-0.31183 - -0.183446	0.186317 - 0.36998
Ribo	YLR325C	-3.55524 - -3.10837	0.352621 - 1.22464	-0.382426 - 0.125754	< -2.93219	-0.437616 - 0.116722	-0.333751 - -0.0670098	-0.988662 - -0.669729	-1.02478 - -0.659428	0.492027 - 1.00217	-0.869533 - -0.573237	-0.164623 - 0.0567379	0.0512376 - 0.308063	-0.128749 - 0.200137	-0.451344 - -0.24542	0.15896 - 0.33614	-0.762285 - -0.444354	-0.405256 - -0.174611	-0.33811 - -0.1104	0.267107 - 0.527055	-0.537477 - -0.309045	0.0432133 - 0.198076	0.283336 - 0.477439	0.519875 - 0.771311	0.294794 - 0.529312	-0.869476 - -0.557685
Ribo	YKL006W	< -3.84266	0.352621 - 1.22464	0.608969 - 1.1829	-1.99724 - -1.00746	0.951233 - 1.6518	0.917994 - 1.41578	0.253326 - 0.559976	-1.70937 - -1.02478	-0.333791 - -0.103436	-1.59043 - -0.869533	-0.164623 - 0.0567379	0.308063 - 0.528452	0.200137 - 0.459517	0.270683 - 0.489747	0.707889 - 1.0854	-0.067954 - 0.166896	-1.00002 - -0.622271	-0.33811 - -0.1104	-0.193563 - -0.0444716	0.528279 - 0.935366	< -0.947849	-0.383712 - -0.147248	-0.296289 - -0.128279	0.0601571 - 0.294794	-0.557685 - -0.371889
Ribo	YOR293W	< -3.84266	-0.789981 - -0.323711	1.1829 - 1.82932	-1.99724 - -1.00746	≥ 2.25045	-2.3691 - -1.62041	0.253326 - 0.559976	-0.659428 - -0.235078	-1.00963 - -0.67939	-0.0742138 - 0.215548	0.524226 - 0.812305	-0.794636 - -0.476743	0.459517 - 0.777881	-1.22843 - -0.77954	-0.425273 - -0.228786	0.40824 - 0.678926	< -1.00002	-0.629906 - -0.33811	0.527055 - 0.984347	0.528279 - 0.935366	-0.308823 - -0.0792995	< -0.900182	< -0.949145	-0.527216 - -0.31183	-0.206293 - 0.0027569
Ribo	YIL069C	-2.84061 - -2.46131	-3.07807 - -1.98319	-1.95551 - -1.12887	0.0172426 - 0.531467	-1.6315 - -1.2472	-2.3691 - -1.62041	< -1.91176	0.237892 - 0.498102	-1.5339 - -1.00963	0.878362 - 1.45871	-1.20377 - -0.771468	0.805687 - 1.34529	0.200137 - 0.459517	0.669964 - 1.12356	0.33614 - 0.707889	0.678926 - 1.23123	-1.00002 - -0.622271	-0.1104 - 0.0347436	-0.0444716 - 0.0936803	0.0342379 - 0.177247	0.386712 - 0.549829	-0.383712 - -0.147248	-0.128279 - 0.0549996	-0.183446 - -0.0669247	0.0027569 - 0.186317
Ribo	YHR141C	-3.10837 - -2.84061	-1.98319 - -1.55052	-0.382426 - 0.125754	-0.433048 - 0.0172426	-1.2472 - -0.437616	< -2.3691	< -1.91176	0.237892 - 0.498102	-1.5339 - -1.00963	0.878362 - 1.45871	-0.164623 - 0.0567379	-0.1735 - 0.0512376	0.777881 - 1.54386	0.489747 - 0.669964	-0.777968 - -0.425273	-0.067954 - 0.166896	-1.00002 - -0.622271	< -1.06673	0.527055 - 0.984347	≥ 0.935366	0.386712 - 0.549829	-0.613833 - -0.383712	-0.949145 - -0.448052	-0.31183 - -0.183446	0.186317 - 0.36998
Ribo	YDL082W	-3.10837 - -2.84061	-0.789981 - -0.323711	-0.382426 - 0.125754	1.8757 - 2.71596	-1.6315 - -1.2472	-2.3691 - -1.62041	-1.91176 - -0.988662	≥ 1.53479	-0.67939 - -0.333791	0.524465 - 0.878362	0.303004 - 0.524226	-1.3658 - -0.794636	-0.347348 - -0.128749	-0.0386652 - 0.270683	-0.425273 - -0.228786	-0.067954 - 0.166896	0.372761 - 0.561059	0.588167 - 1.0153	0.0936803 - 0.267107	-0.309045 - -0.0953163	-0.0792995 - 0.0432133	-0.147248 - 0.0525043	0.160593 - 0.351944	-0.183446 - -0.0669247	-0.869476 - -0.557685
Ribo	YGR034W	< -3.84266	0.352621 - 1.22464	1.1829 - 1.82932	-0.433048 - 0.0172426	0.951233 - 1.6518	-0.333751 - -0.0670098	< -1.91176	0.498102 - 0.888346	-0.67939 - -0.333791	0.215548 - 0.524465	-1.20377 - -0.771468	-0.794636 - -0.476743	0.459517 - 0.777881	-0.451344 - -0.24542	0.15896 - 0.33614	0.678926 - 1.23123	-0.405256 - -0.174611	-0.1104 - 0.0347436	< -0.886108	-0.0953163 - 0.0342379	0.198076 - 0.386712	0.477439 - 0.87368	-0.296289 - -0.128279	-0.31183 - -0.183446	0.0027569 - 0.186317
Ribo	YPL143W	-3.55524 - -3.10837	-1.55052 - -0.789981	-0.382426 - 0.125754	-1.00746 - -0.433048	1.6518 - 2.25045	-0.0670098 - 0.370891	-0.669729 - -0.327772	-0.235078 - -0.0103348	-0.67939 - -0.333791	-0.24581 - -0.0742138	0.524226 - 0.812305	0.0512376 - 0.308063	-0.128749 - 0.200137	0.270683 - 0.489747	-0.425273 - -0.228786	-0.067954 - 0.166896	0.138608 - 0.372761	-0.629906 - -0.33811	-0.193563 - -0.0444716	-1.01567 - -0.537477	-0.308823 - -0.0792995	-0.147248 - 0.0525043	-0.448052 - -0.296289	-0.0669247 - 0.0601571	0.573122 - 0.893637
Ribo	YLR061W	-1.87322 - 2.96362	-3.07807 - -1.98319	-1.95551 - -1.12887	0.531467 - 1.22558	0.116722 - 0.575969	0.917994 - 1.41578	-0.988662 - -0.669729	-1.70937 - -1.02478	< -1.5339	0.524465 - 0.878362	0.812305 - 1.27537	≥ 1.34529	-0.802946 - -0.496845	-1.22843 - -0.77954	-0.228786 - -0.0530638	-0.444354 - -0.282942	-0.0273938 - 0.138608	0.588167 - 1.0153	-0.0444716 - 0.0936803	0.177247 - 0.326032	0.386712 - 0.549829	-0.900182 - -0.613833	≥ 0.771311	0.529312 - 0.846813	0.0027569 - 0.186317
Ribo	YOR312C	-2.46131 - -1.87322	-3.07807 - -1.98319	0.125754 - 0.608969	1.22558 - 1.8757	-1.2472 - -0.437616	-0.0670098 - 0.370891	-0.988662 - -0.669729	0.498102 - 0.888346	< -1.5339	-0.0742138 - 0.215548	≥ 1.27537	-1.3658 - -0.794636	0.459517 - 0.777881	0.669964 - 1.12356	< -1.10289	-0.444354 - -0.282942	< -1.00002	-1.06673 - -0.629906	0.0936803 - 0.267107	0.177247 - 0.326032	0.0432133 - 0.198076	0.0525043 - 0.207664	-0.448052 - -0.296289	-0.527216 - -0.31183	-0.557685 - -0.371889
Ribo	YDR471W	-3.84266 - -3.55524	-1.98319 - -1.55052	1.1829 - 1.82932	-1.99724 - -1.00746	0.116722 - 0.575969	-0.333751 - -0.0670098	0.559976 - 1.14374	-0.0103348 - 0.237892	-0.103436 - 0.141737	-0.24581 - -0.0742138	0.812305 - 1.27537	0.0512376 - 0.308063	-0.496845 - -0.347348	0.270683 - 0.489747	-0.228786 - -0.0530638	-0.067954 - 0.166896	-0.174611 - -0.0273938	0.588167 - 1.0153	-0.0444716 - 0.0936803	0.326032 - 0.528279	0.198076 - 0.386712	-0.613833 - -0.383712	0.160593 - 0.351944	0.0601571 - 0.294794	-0.557685 - -0.371889
Ribo	YNL096C	-2.46131 - -1.87322	< -3.07807	-1.12887 - -0.382426	-1.00746 - -0.433048	0.116722 - 0.575969	-0.904866 - -0.333751	-0.0921005 - 0.253326	-1.02478 - -0.659428	-0.103436 - 0.141737	-1.59043 - -0.869533	0.812305 - 1.27537	-1.3658 - -0.794636	0.200137 - 0.459517	-0.0386652 - 0.270683	0.15896 - 0.33614	0.166896 - 0.40824	0.138608 - 0.372761	-0.629906 - -0.33811	-0.620673 - -0.37434	≥ 0.935366	-0.0792995 - 0.0432133	< -0.900182	-0.128279 - 0.0549996	0.294794 - 0.529312	< -0.869476
Ribo	YNL162W	-3.10837 - -2.84061	< -3.07807	-0.382426 - 0.125754	-1.99724 - -1.00746	1.6518 - 2.25045	-0.904866 - -0.333751	-0.988662 - -0.669729	0.237892 - 0.498102	1.00217 - 1.56225	< -1.59043	-0.771468 - -0.451247	-1.3658 - -0.794636	0.777881 - 1.54386	-0.0386652 - 0.270683	-0.777968 - -0.425273	-0.444354 - -0.282942	-0.174611 - -0.0273938	-0.629906 - -0.33811	-0.193563 - -0.0444716	0.326032 - 0.528279	-0.587246 - -0.308823	-0.900182 - -0.613833	0.519875 - 0.771311	-0.872897 - -0.527216	-0.869476 - -0.557685
Ribo	YPL079W	-2.46131 - -1.87322	-3.07807 - -1.98319	-1.95551 - -1.12887	< -2.93219	0.116722 - 0.575969	0.370891 - 0.917994	1.14374 - 2.10432	-1.02478 - -0.659428	0.141737 - 0.492027	0.878362 - 1.45871	0.812305 - 1.27537	-0.476743 - -0.1735	-0.347348 - -0.128749	0.270683 - 0.489747	0.707889 - 1.0854	-0.444354 - -0.282942	-0.174611 - -0.0273938	-0.1104 - 0.0347436	0.267107 - 0.527055	-0.309045 - -0.0953163	-0.587246 - -0.308823	0.283336 - 0.477439	-0.949145 - -0.448052	-0.872897 - -0.527216	0.0027569 - 0.186317
Ribo	YNL067W	-2.84061 - -2.46131	-0.323711 - 0.352621	-1.95551 - -1.12887	-0.433048 - 0.0172426	-2.60633 - -1.6315	0.917994 - 1.41578	-1.91176 - -0.988662	-0.0103348 - 0.237892	1.00217 - 1.56225	-1.59043 - -0.869533	0.524226 - 0.812305	-0.794636 - -0.476743	-0.347348 - -0.128749	-1.22843 - -0.77954	-0.777968 - -0.425273	-0.067954 - 0.166896	-0.405256 - -0.174611	≥ 1.0153	-0.193563 - -0.0444716	0.528279 - 0.935366	-0.587246 - -0.308823	-0.147248 - 0.0525043	-0.296289 - -0.128279	0.0601571 - 0.294794	-0.557685 - -0.371889
Ribo	YPR043W	-2.46131 - -1.87322	-0.789981 - -0.323711	-3.45235 - -1.95551	1.22558 - 1.8757	-2.60633 - -1.6315	-0.904866 - -0.333751	-1.91176 - -0.988662	0.237892 - 0.498102	-0.67939 - -0.333791	-0.24581 - -0.0742138	0.303004 - 0.524226	0.0512376 - 0.308063	-0.496845 - -0.347348	-0.0386652 - 0.270683	-0.0530638 - 0.15896	-0.282942 - -0.067954	0.372761 - 0.561059	-0.1104 - 0.0347436	0.267107 - 0.527055	0.326032 - 0.528279	0.549829 - 0.781302	-0.900182 - -0.613833	0.351944 - 0.519875	-0.0669247 - 0.0601571	0.36998 - 0.573122
Ribo	YMR242C	-3.10837 - -2.84061	-1.55052 - -0.789981	0.608969 - 1.1829	0.0172426 - 0.531467	1.6518 - 2.25045	-1.62041 - -0.904866	1.14374 - 2.10432	0.498102 - 0.888346	-1.00963 - -0.67939	< -1.59043	0.303004 - 0.524226	-0.1735 - 0.0512376	-0.496845 - -0.347348	-0.0386652 - 0.270683	-0.228786 - -0.0530638	-0.282942 - -0.067954	0.372761 - 0.561059	< -1.06673	-0.37434 - -0.193563	0.0342379 - 0.177247	0.198076 - 0.386712	-0.900182 - -0.613833	0.351944 - 0.519875	-0.31183 - -0.183446	-0.371889 - -0.206293
Ribo	YNL302C	-3.55524 - -3.10837	2.27225 - 4.31204	0.608969 - 1.1829	-0.433048 - 0.0172426	0.951233 - 1.6518	-1.62041 - -0.904866	0.559976 - 1.14374	-0.235078 - -0.0103348	-0.67939 - -0.333791	0.215548 - 0.524465	≥ 1.27537	-0.1735 - 0.0512376	-1.13556 - -0.802946	-0.77954 - -0.451344	-0.777968 - -0.425273	-0.282942 - -0.067954	-0.0273938 - 0.138608	0.367606 - 0.588167	-0.620673 - -0.37434	-0.0953163 - 0.0342379	-0.0792995 - 0.0432133	< -0.900182	-0.128279 - 0.0549996	0.0601571 - 0.294794	-0.371889 - -0.206293
Ribo	YGL123W	< -3.84266	≥ 4.31204	1.82932 - 3.17619	0.0172426 - 0.531467	≥ 2.25045	≥ 2.1255	-0.327772 - -0.0921005	0.237892 - 0.498102	0.492027 - 1.00217	-0.573237 - -0.24581	-0.164623 - 0.0567379	0.0512376 - 0.308063	0.459517 - 0.777881	-0.77954 - -0.451344	-1.10289 - -0.777968	-0.762285 - -0.444354	0.138608 - 0.372761	-0.33811 - -0.1104	0.267107 - 0.527055	-0.0953163 - 0.0342379	-0.947849 - -0.587246	0.283336 - 0.477439	0.160593 - 0.351944	0.0601571 - 0.294794	0.573122 - 0.893637
Ribo	YGL103W	< -3.84266	2.27225 - 4.31204	1.82932 - 3.17619	-0.433048 - 0.0172426	0.951233 - 1.6518	0.917994 - 1.41578	-1.91176 - -0.988662	0.498102 - 0.888346	0.141737 - 0.492027	-0.869533 - -0.573237	0.303004 - 0.524226	0.308063 - 0.528452	0.200137 - 0.459517	-0.24542 - -0.0386652	-0.777968 - -0.425273	< -1.16585	0.138608 - 0.372761	0.588167 - 1.0153	0.267107 - 0.527055	0.0342379 - 0.177247	0.0432133 - 0.198076	0.477439 - 0.87368	0.519875 - 0.771311	≥ 0.846813	0.573122 - 0.893637
Ribo	YGL135W	< -3.84266	2.27225 - 4.31204	1.82932 - 3.17619	0.531467 - 1.22558	≥ 2.25045	-0.333751 - -0.0670098	0.253326 - 0.559976	-0.659428 - -0.235078	-1.00963 - -0.67939	-0.573237 - -0.24581	-0.164623 - 0.0567379	0.0512376 - 0.308063	-0.496845 - -0.347348	-0.24542 - -0.0386652	-1.10289 - -0.777968	0.678926 - 1.23123	-0.0273938 - 0.138608	-1.06673 - -0.629906	-0.193563 - -0.0444716	-1.01567 - -0.537477	-0.0792995 - 0.0432133	0.477439 - 0.87368	-0.296289 - -0.128279	-0.0669247 - 0.0601571	-0.557685 - -0.371889
Ribo	YPL220W	-3.84266 - -3.55524	1.22464 - 2.27225	0.608969 - 1.1829	-1.00746 - -0.433048	1.6518 - 2.25045	1.41578 - 2.1255	-0.669729 - -0.327772	-1.02478 - -0.659428	-0.67939 - -0.333791	-0.869533 - -0.573237	-1.20377 - -0.771468	0.528452 - 0.805687	0.200137 - 0.459517	-0.0386652 - 0.270683	-0.228786 - -0.0530638	0.40824 - 0.678926	0.561059 - 1.01778	< -1.06673	0.0936803 - 0.267107	-1.01567 - -0.537477	< -0.947849	0.207664 - 0.283336	0.351944 - 0.519875	-0.0669247 - 0.0601571	0.0027569 - 0.186317
Ribo	YEL054C	-3.84266 - -3.55524	0.352621 - 1.22464	1.82932 - 3.17619	≥ 2.71596	0.951233 - 1.6518	-0.904866 - -0.333751	-0.327772 - -0.0921005	0.888346 - 1.53479	-0.67939 - -0.333791	-0.24581 - -0.0742138	-0.771468 - -0.451247	0.528452 - 0.805687	0.200137 - 0.459517	0.270683 - 0.489747	0.15896 - 0.33614	0.678926 - 1.23123	-0.174611 - -0.0273938	-1.06673 - -0.629906	0.267107 - 0.527055	-0.309045 - -0.0953163	-0.587246 - -0.308823	0.0525043 - 0.207664	≥ 0.771311	0.294794 - 0.529312	-0.371889 - -0.206293
Ribo	YOL127W	-3.55524 - -3.10837	1.22464 - 2.27225	0.125754 - 0.608969	-1.99724 - -1.00746	0.575969 - 0.951233	-1.62041 - -0.904866	-1.91176 - -0.988662	0.237892 - 0.498102	-1.5339 - -1.00963	-0.573237 - -0.24581	0.303004 - 0.524226	0.528452 - 0.805687	-0.128749 - 0.200137	-0.24542 - -0.0386652	-0.777968 - -0.425273	-0.762285 - -0.444354	0.561059 - 1.01778	0.0347436 - 0.17113	-0.0444716 - 0.0936803	0.0342379 - 0.177247	0.0432133 - 0.198076	0.207664 - 0.283336	0.351944 - 0.519875	0.294794 - 0.529312	≥ 0.893637
Ribo	YGL147C	-3.84266 - -3.55524	2.27225 - 4.31204	1.1829 - 1.82932	-1.00746 - -0.433048	-0.437616 - 0.116722	-0.0670098 - 0.370891	0.253326 - 0.559976	-1.70937 - -1.02478	0.492027 - 1.00217	0.215548 - 0.524465	≥ 1.27537	-0.1735 - 0.0512376	-0.347348 - -0.128749	-0.451344 - -0.24542	-1.10289 - -0.777968	-1.16585 - -0.762285	0.561059 - 1.01778	-0.629906 - -0.33811	-0.0444716 - 0.0936803	0.177247 - 0.326032	0.198076 - 0.386712	0.283336 - 0.477439	0.0549996 - 0.160593	≥ 0.846813	0.573122 - 0.893637
Ribo	YDR064W	-3.10837 - -2.84061	-3.07807 - -1.98319	-1.12887 - -0.382426	0.531467 - 1.22558	0.116722 - 0.575969	1.41578 - 2.1255	-1.91176 - -0.988662	-1.02478 - -0.659428	0.492027 - 1.00217	0.215548 - 0.524465	-0.771468 - -0.451247	-0.476743 - -0.1735	-0.496845 - -0.347348	0.489747 - 0.669964	0.15896 - 0.33614	0.678926 - 1.23123	-1.00002 - -0.622271	< -1.06673	-0.886108 - -0.620673	0.528279 - 0.935366	-0.947849 - -0.587246	0.283336 - 0.477439	0.160593 - 0.351944	0.294794 - 0.529312	0.36998 - 0.573122
Ribo	YHR010W	-3.84266 - -3.55524	1.22464 - 2.27225	1.82932 - 3.17619	1.22558 - 1.8757	1.6518 - 2.25045	-2.3691 - -1.62041	0.559976 - 1.14374	-0.235078 - -0.0103348	-1.00963 - -0.67939	0.215548 - 0.524465	0.0567379 - 0.303004	0.308063 - 0.528452	-0.128749 - 0.200137	-0.77954 - -0.451344	-0.425273 - -0.228786	< -1.16585	-0.622271 - -0.405256	-0.1104 - 0.0347436	-0.193563 - -0.0444716	≥ 0.935366	0.0432133 - 0.198076	≥ 0.87368	0.351944 - 0.519875	0.529312 - 0.846813	0.36998 - 0.573122
Ribo	YER117W	< -3.84266	1.22464 - 2.27225	0.125754 - 0.608969	1.8757 - 2.71596	0.575969 - 0.951233	-2.3691 - -1.62041	-0.988662 - -0.669729	0.498102 - 0.888346	-0.103436 - 0.141737	0.524465 - 0.878362	0.524226 - 0.812305	0.528452 - 0.805687	-0.128749 - 0.200137	0.489747 - 0.669964	0.15896 - 0.33614	-1.16585 - -0.762285	-0.405256 - -0.174611	-0.629906 - -0.33811	0.267107 - 0.527055	0.177247 - 0.326032	0.386712 - 0.549829	0.207664 - 0.283336	-0.448052 - -0.296289	0.0601571 - 0.294794	0.0027569 - 0.186317
Ribo	YOR063W	-2.84061 - -2.46131	1.22464 - 2.27225	0.125754 - 0.608969	0.531467 - 1.22558	0.951233 - 1.6518	1.41578 - 2.1255	-0.327772 - -0.0921005	-0.0103348 - 0.237892	-0.103436 - 0.141737	-0.869533 - -0.573237	-0.451247 - -0.164623	0.528452 - 0.805687	-0.802946 - -0.496845	-0.77954 - -0.451344	-0.228786 - -0.0530638	0.166896 - 0.40824	-0.622271 - -0.405256	≥ 1.0153	0.0936803 - 0.267107	-0.537477 - -0.309045	-0.308823 - -0.0792995	0.0525043 - 0.207664	≥ 0.771311	-0.31183 - -0.183446	-0.869476 - -0.557685
Ribo	YDL075W	-3.84266 - -3.55524	-0.323711 - 0.352621	≥ 3.17619	1.8757 - 2.71596	0.575969 - 0.951233	-1.62041 - -0.904866	0.559976 - 1.14374	-0.659428 - -0.235078	-1.5339 - -1.00963	-0.0742138 - 0.215548	0.0567379 - 0.303004	< -1.3658	0.777881 - 1.54386	0.270683 - 0.489747	-0.425273 - -0.228786	0.40824 - 0.678926	≥ 1.01778	0.367606 - 0.588167	-0.620673 - -0.37434	0.326032 - 0.528279	0.549829 - 0.781302	≥ 0.87368	0.0549996 - 0.160593	< -0.872897	0.573122 - 0.893637
Ribo	YOL120C	-3.55524 - -3.10837	1.22464 - 2.27225	0.125754 - 0.608969	≥ 2.71596	0.116722 - 0.575969	0.917994 - 1.41578	-0.988662 - -0.669729	-0.0103348 - 0.237892	0.141737 - 0.492027	-0.24581 - -0.0742138	-0.164623 - 0.0567379	0.528452 - 0.805687	-1.13556 - -0.802946	-0.451344 - -0.24542	0.33614 - 0.707889	0.678926 - 1.23123	-0.622271 - -0.405256	0.17113 - 0.367606	≥ 0.984347	-0.309045 - -0.0953163	-0.947849 - -0.587246	< -0.900182	-0.949145 - -0.448052	0.294794 - 0.529312	0.36998 - 0.573122
Ribo	YCR031C	-2.46131 - -1.87322	-0.789981 - -0.323711	-1.12887 - -0.382426	1.22558 - 1.8757	≥ 2.25045	1.41578 - 2.1255	-0.669729 - -0.327772	-0.0103348 - 0.237892	< -1.5339	-0.0742138 - 0.215548	-0.771468 - -0.451247	≥ 1.34529	-0.496845 - -0.347348	-0.451344 - -0.24542	-1.10289 - -0.777968	-0.067954 - 0.166896	≥ 1.01778	0.367606 - 0.588167	0.0936803 - 0.267107	-0.537477 - -0.309045	≥ 0.781302	-0.383712 - -0.147248	0.160593 - 0.351944	-0.0669247 - 0.0601571	0.573122 - 0.893637
Ribo	YOL039W	-2.46131 - -1.87322	0.352621 - 1.22464	-3.45235 - -1.95551	1.8757 - 2.71596	0.116722 - 0.575969	≥ 2.1255	-0.988662 - -0.669729	-0.235078 - -0.0103348	-1.5339 - -1.00963	-0.869533 - -0.573237	-1.20377 - -0.771468	0.0512376 - 0.308063	-0.128749 - 0.200137	0.270683 - 0.489747	0.33614 - 0.707889	-0.067954 - 0.166896	0.138608 - 0.372761	0.17113 - 0.367606	-0.886108 - -0.620673	-0.0953163 - 0.0342379	0.0432133 - 0.198076	-0.900182 - -0.613833	0.351944 - 0.519875	-0.872897 - -0.527216	-0.206293 - 0.0027569
Ribo	YDR012W	-2.46131 - -1.87322	2.27225 - 4.31204	0.125754 - 0.608969	1.8757 - 2.71596	1.6518 - 2.25045	≥ 2.1255	-0.0921005 - 0.253326	0.888346 - 1.53479	-0.333791 - -0.103436	-0.573237 - -0.24581	-1.20377 - -0.771468	0.528452 - 0.805687	-0.128749 - 0.200137	0.489747 - 0.669964	0.707889 - 1.0854	0.678926 - 1.23123	0.372761 - 0.561059	0.367606 - 0.588167	-0.193563 - -0.0444716	-0.0953163 - 0.0342379	-0.0792995 - 0.0432133	0.207664 - 0.283336	0.0549996 - 0.160593	-0.183446 - -0.0669247	0.573122 - 0.893637
Ribo	YBR031W	-2.46131 - -1.87322	1.22464 - 2.27225	-1.12887 - -0.382426	1.22558 - 1.8757	≥ 2.25045	≥ 2.1255	≥ 2.10432	0.498102 - 0.888346	1.00217 - 1.56225	0.878362 - 1.45871	-1.20377 - -0.771468	0.805687 - 1.34529	0.777881 - 1.54386	-0.451344 - -0.24542	0.15896 - 0.33614	0.678926 - 1.23123	-0.622271 - -0.405256	0.367606 - 0.588167	≥ 0.984347	< -1.01567	≥ 0.781302	-0.613833 - -0.383712	0.519875 - 0.771311	-0.31183 - -0.183446	-0.371889 - -0.206293
Ribo	YLR340W	-2.46131 - -1.87322	-0.323711 - 0.352621	-0.382426 - 0.125754	1.8757 - 2.71596	1.6518 - 2.25045	≥ 2.1255	0.253326 - 0.559976	-1.02478 - -0.659428	-0.67939 - -0.333791	0.524465 - 0.878362	-1.20377 - -0.771468	0.308063 - 0.528452	-0.802946 - -0.496845	-0.24542 - -0.0386652	-0.0530638 - 0.15896	≥ 1.23123	-0.0273938 - 0.138608	-0.1104 - 0.0347436	-0.193563 - -0.0444716	-1.01567 - -0.537477	-0.947849 - -0.587246	-0.147248 - 0.0525043	0.519875 - 0.771311	0.0601571 - 0.294794	< -0.869476
Ribo	YDL081C	< -3.84266	≥ 4.31204	1.82932 - 3.17619	1.22558 - 1.8757	1.6518 - 2.25045	-0.0670098 - 0.370891	0.253326 - 0.559976	0.237892 - 0.498102	-1.00963 - -0.67939	0.215548 - 0.524465	< -1.20377	-0.794636 - -0.476743	0.459517 - 0.777881	< -1.22843	0.33614 - 0.707889	≥ 1.23123	0.372761 - 0.561059	0.0347436 - 0.17113	-0.193563 - -0.0444716	< -1.01567	0.386712 - 0.549829	0.207664 - 0.283336	0.160593 - 0.351944	-0.872897 - -0.527216	< -0.869476
Ribo	YDR382W	-3.55524 - -3.10837	≥ 4.31204	1.1829 - 1.82932	≥ 2.71596	1.6518 - 2.25045	0.370891 - 0.917994	-1.91176 - -0.988662	0.888346 - 1.53479	-0.333791 - -0.103436	-0.573237 - -0.24581	-0.164623 - 0.0567379	0.528452 - 0.805687	0.200137 - 0.459517	-0.24542 - -0.0386652	0.33614 - 0.707889	0.678926 - 1.23123	-0.622271 - -0.405256	-0.1104 - 0.0347436	0.527055 - 0.984347	-0.0953163 - 0.0342379	-0.0792995 - 0.0432133	< -0.900182	0.519875 - 0.771311	-0.0669247 - 0.0601571	-0.371889 - -0.206293
Ribo	YLR344W	-2.46131 - -1.87322	< -3.07807	< -3.45235	-2.93219 - -1.99724	0.575969 - 0.951233	0.917994 - 1.41578	-1.91176 - -0.988662	0.237892 - 0.498102	0.141737 - 0.492027	0.878362 - 1.45871	0.0567379 - 0.303004	-0.476743 - -0.1735	-1.13556 - -0.802946	-0.0386652 - 0.270683	-0.0530638 - 0.15896	0.678926 - 1.23123	-0.174611 - -0.0273938	-1.06673 - -0.629906	< -0.886108	-0.537477 - -0.309045	-0.947849 - -0.587246	-0.613833 - -0.383712	0.0549996 - 0.160593	0.294794 - 0.529312	-0.206293 - 0.0027569
Ribo	YBL092W	< -3.84266	-3.07807 - -1.98319	1.1829 - 1.82932	-2.93219 - -1.99724	0.116722 - 0.575969	-1.62041 - -0.904866	≥ 2.10432	0.237892 - 0.498102	≥ 1.56225	≥ 1.45871	0.303004 - 0.524226	< -1.3658	-0.347348 - -0.128749	-0.24542 - -0.0386652	-0.228786 - -0.0530638	0.678926 - 1.23123	0.561059 - 1.01778	≥ 1.0153	-0.620673 - -0.37434	0.0342379 - 0.177247	0.386712 - 0.549829	-0.900182 - -0.613833	0.0549996 - 0.160593	-0.31183 - -0.183446	≥ 0.893637
Ribo	YKL156W	-1.87322 - 2.96362	< -3.07807	-3.45235 - -1.95551	-0.433048 - 0.0172426	-2.60633 - -1.6315	< -2.3691	< -1.91176	-0.235078 - -0.0103348	-1.5339 - -1.00963	≥ 1.45871	0.0567379 - 0.303004	≥ 1.34529	-1.13556 - -0.802946	0.270683 - 0.489747	-0.0530638 - 0.15896	-0.762285 - -0.444354	-0.405256 - -0.174611	0.17113 - 0.367606	≥ 0.984347	-0.537477 - -0.309045	≥ 0.781302	< -0.900182	< -0.949145	-0.872897 - -0.527216	0.186317 - 0.36998
